# code	title	kind — kinds WordNet has no noun for (or only non-goods senses, marked)
33610	natural uranium and its compounds; alloys, dispersions, ceramic products and mix	dispersions	[non-goods senses: the act of dispersing or diffusing somet; the spatial or geographic property of be; spreading widely or driving off]
33620	uranium enriched in u235 and its compounds; plutonium and its compounds; alloys,	dispersions	[non-goods senses: the act of dispersing or diffusing somet; the spatial or geographic property of be; spreading widely or driving off]
33630	uranium depleted in u235 and its compounds; thorium and its compounds; alloys, d	dispersions	[non-goods senses: the act of dispersing or diffusing somet; the spatial or geographic property of be; spreading widely or driving off]
33690	other radioactive elements and isotopes and compounds; alloys, dispersions, cera	dispersions	[non-goods senses: the act of dispersing or diffusing somet; the spatial or geographic property of be; spreading widely or driving off]
34231	chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphoni	halogen	[non-goods senses: any of five related nonmetallic elements]
34653	ammonium chloride; nitrites	nitrites	[non-goods senses: the radical -NO2 or any compound contain]
35430	lubricating preparations and preparations of a kind used for the oil or grease t	prepared additives	[non-goods senses: something added to enhance food or gasol]
35450	prepared explosives; safety fuses; detonating fuses; percussion or detonating ca	percussion	[non-goods senses: the act of exploding a percussion cap; the act of playing a percussion instrume; tapping a part of the body for diagnosti]
36240	conveyor or transmission belts or belting, of vulcanized rubber	conveyor	[non-goods senses: a moving belt that transports objects (a; a person who conveys (carries or transmi]
37121	slivers, rovings, yarn and chopped strands, of glass	slivers	[non-goods senses: a thin fragment or slice (especially of ; a small thin sharp bit or wood or glass ]
37121	slivers, rovings, yarn and chopped strands, of glass	rovings	[non-goods senses: travelling about without any clear desti]
37192	glass envelopes, open, and glass parts thereof, for electric lamps, cathode-ray 	open	[non-goods senses: information that has become public; a tournament in which both professionals; where the air is unconfined]
37195	laboratory, hygienic or pharmaceutical glassware; ampoules of glass	laboratory	[non-goods senses: a workplace for the conduct of scientifi; a region resembling a laboratory inasmuc]
37360	non-refractory ceramic pipes, conduits, guttering and pipe fittings	pipe fittings	[non-goods senses: fitting consisting of threaded pieces of]
37610	marble, travertine and alabaster, worked, and articles thereof (except setts, cu	chippings	[non-goods senses: the act of chipping something]
37690	other worked monumental or building stone and articles thereof; other artificial	chippings	[non-goods senses: the act of chipping something]
38250	coin	coin	[non-goods senses: a flat metal piece (usually a disc) used]
38540	toy electric trains and tracks, signals and other accessories therefor; reduced-	signals	[non-goods senses: any nonverbal action or gesture that enc; any incitement to action; an electric quantity (voltage or current]
38911	pens, duplicating stylos, pencils, pen-holders, pencil-holders and similar holde	pastels	[non-goods senses: any of various pale or light colors]
38912	date, sealing or numbering stamps, and the like, designed for operating in the h	sealing	[non-goods senses: the act of treating something to make it]
38961	paintings, drawings and pastels; original engravings, prints and lithographs; or	pastels	[non-goods senses: any of various pale or light colors]
38961	paintings, drawings and pastels; original engravings, prints and lithographs; or	statuary	[non-goods senses: statues collectively]
38962	postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery 	postage	[non-goods senses: a small adhesive token stuck on a letter; the charge for mailing something]
38991	festive, carnival or other entertainment articles, including conjuring tricks an	carnival	[non-goods senses: a festival marked by merrymaking and pro; a traveling show; a frenetic disorganized (and often comic]
38993	brooms, brushes, hand-operated mechanical floor sweepers (not motorized), mops a	tufts	[non-goods senses: a bunch of feathers or hair; a bunch of hair or feathers or growing g]
39160	brewing or distilling dregs and waste	brewing	[non-goods senses: the production of malt beverages (as bee]
39250	waste, parings and scrap of rubber (except hard rubber) and powders and granules	parings	[non-goods senses: (usually plural) a part of a fruit or ve; a thin fragment or slice (especially of ]
39270	waste, parings and scrap of plastics	parings	[non-goods senses: (usually plural) a part of a fruit or ve; a thin fragment or slice (especially of ]
39310	slag, dross, scalings and other waste from the manufacture of iron or steel	slag	[non-goods senses: the scum formed by oxidation at the surf]
39310	slag, dross, scalings and other waste from the manufacture of iron or steel	scalings	[non-goods senses: ascent by or as if by a ladder; act of measuring or arranging or adjusti; the act of arranging in a graduated seri]
41251	angles, shapes and sections, not further worked than hot-rolled, hot-drawn or ex	angles	[non-goods senses: a biased way of looking at or presenting; a member of a Germanic people who conque; the space between two lines or planes th]
41262	angles, shapes and sections, cold-formed, cold-finished or further worked, of ir	angles	[non-goods senses: a biased way of looking at or presenting; a member of a Germanic people who conque; the space between two lines or planes th]
41266	angles, shapes and sections, of alloy steel	angles	[non-goods senses: a biased way of looking at or presenting; a member of a Germanic people who conque; the space between two lines or planes th]
41292	tube or pipe fittings, of cast-iron or of cast-steel	pipe fittings	[non-goods senses: fitting consisting of threaded pieces of]
