kind	sub	sup	detail
single	cube	logical-relation	only sumo
single	cube	manifold	only opencyc
single	culture	logical-relation	only sumo
single	currency	expression	only opencyc
single	curve	logical-relation	only sumo
single	curved-shape	logical-relation	only sumo
single	curvilinear-correlation	cognition	only wordnet
single	curvilinear-correlation	field-of-study	only wordnet
single	curvilinear-correlation	logical-relation	only sumo
single	curvilinear-correlation	mathematics	only wordnet
single	curvilinear-correlation	science	only wordnet
single	curvilinear-regression	cognition	only wordnet
single	curvilinear-regression	logical-relation	only sumo
single	curvilinear-regression	method	only wordnet
single	curvilinear-regression	quantity	only sumo
single	curvilinear-regression	statistical-method	only wordnet
single	curvilinear-regression	vector	only sumo
single	custom	expression	only opencyc
single	custom	logical-relation	only sumo
single	cyclic-graph	hypergraph	only wikidata
single	cyclic-graph	mathematical-graph	only wikidata
single	cyclic-graph	mathematical-structure	only wikidata
single	cyclic-group	algebraic-magma	only wikidata
single	cyclic-group	algebraic-structure	only wikidata
single	cyclic-group	mathematical-group	only wikidata
single	cyclic-group	mathematical-module	only wikidata
single	cyclic-group	mathematical-structure	only wikidata
single	cyclic-group	monoid	only wikidata
single	cyclic-group	quasigroup	only wikidata
single	cyclic-group	semigroup	only wikidata
single	cyclic-group	topological-space	only wikidata
single	cylinder	manifold	only opencyc
single	dairy	expression	only opencyc
single	damage	logical-relation	only sumo
single	danger	logical-relation	only sumo
single	dark-blue	logical-relation	only sumo
single	dash	logical-relation	only sumo
single	daughter	logical-relation	only sumo
single	daze	logical-relation	only sumo
single	dearth	logical-relation	only sumo
single	death	expression	only opencyc
single	debt	logical-relation	only sumo
single	decagon	algebraic-structure	only wikidata
single	decagon	geometric-shape	only wikidata
single	decagon	logical-relation	only sumo
single	decagon	manifold	only opencyc
single	decagon	mathematical-set	only wikidata
single	decagon	mathematical-structure	only wikidata
single	decagon	plane	only opencyc
single	decagon	property	only sumo
single	decagon	surface	only opencyc
single	decile	appraisal	only wordnet
single	decile	cognition	only wordnet
single	decile	indication	only sumo
single	decile	information	only sumo
single	decile	physical-object	only sumo
single	decree	expression	only opencyc
single	deed	expression	only opencyc
single	defendant	logical-relation	only sumo
single	deficit	logical-relation	only sumo
single	definition	expression	only opencyc
single	definition	logical-relation	only sumo
single	degree	logical-relation	only sumo
single	degree-of-freedom	algebraic-structure	only wikidata
single	degree-of-freedom	binary-relation	only wikidata
single	degree-of-freedom	cognition	only wordnet
single	degree-of-freedom	concept	only wordnet
single	degree-of-freedom	idea	only wordnet
single	degree-of-freedom	logical-relation	only sumo
single	degree-of-freedom	mathematical-set	only wikidata
single	degree-of-freedom	mathematical-structure	only wikidata
single	delegate	logical-relation	only sumo
single	demo	expression	only opencyc
single	demographic	cognition	only wordnet
single	demographic	logical-relation	only sumo
single	demographic	quantity	only sumo
single	denial	expression	only opencyc
single	dentist	expression	only opencyc
single	departure	expression	only opencyc
single	departure	translation	only opencyc
single	dependent-variable	cognition	only wordnet
single	dependent-variable	concept	only wordnet
single	dependent-variable	idea	only wordnet
single	dependent-variable	logical-relation	only sumo
single	depression	logical-relation	only sumo
single	deputy	logical-relation	only sumo
single	description-logic	information	only yago
single	description-logic	language	only yago
single	deservingness	logical-relation	only sumo
single	destiny	logical-relation	only sumo
single	detachment	logical-relation	only sumo
single	detective	expression	only opencyc
single	detention	logical-relation	only sumo
single	deviation	cognition	only wordnet
single	diagonal	algebraic-structure	only wikidata
single	diagonal	join-semilattice	only wikidata
single	diagonal	logical-relation	only sumo
single	diagonal	mathematical-lattice	only wikidata
single	diagonal	mathematical-structure	only wikidata
single	diagonal	meet-semilattice	only wikidata
single	diagonal	partially-ordered-set	only wikidata
single	diagonal	subset	only sumo
single	diagonal-line	attribute	only wordnet
single	diagonal-line	logical-relation	only sumo
single	diagram	expression	only opencyc
single	dialect	expression	only opencyc
single	dialogue	expression	only opencyc
single	diameter	logical-relation	only sumo
single	diary	expression	only opencyc
single	dictionary	expression	only opencyc
single	diet	expression	only opencyc
single	differential-calculus	cognition	only wordnet
single	differential-calculus	logical-relation	only sumo
single	differential-calculus	mathematics	only wordnet
single	differential-calculus	science	only wordnet
single	differential-equation	expression	only opencyc
single	differential-equation	information	only wordnet
single	differential-equation	statement	only opencyc
single	differentiation	accomplishment	only sumo
single	differentiation	calculation	only sumo
single	differentiation	information	only sumo
single	differentiation	volition	only sumo
single	difficulty	logical-relation	only sumo
single	dignity	logical-relation	only sumo
single	dilemma	logical-relation	only sumo
single	diligence	logical-relation	only sumo
single	diplomat	expression	only opencyc
single	directed-acyclic-graph	hypergraph	only wikidata
single	directed-acyclic-graph	mathematical-graph	only wikidata
single	directed-acyclic-graph	mathematical-structure	only wikidata
single	directed-acyclic-graph	multigraph	only opencyc
single	directed-graph	hypergraph	only wikidata
single	directed-graph	mathematical-structure	only wikidata
single	directed-graph	multigraph	only opencyc
single	directed-set	algebraic-structure	only wikidata
single	directed-set	mathematical-structure	only wikidata
single	director	expression	only opencyc
single	director	logical-relation	only sumo
single	disability	logical-relation	only sumo
